Data = 0     0.0020 0.852532 0.733072 0.005441
Data = 1     0.0015 0.851372 0.731568 0.005431
Data = 2     0.0010 0.850072 0.730179 0.005405
Data = 3     0.0005 0.848733 0.728687 0.005426
Data = 4     -0.0000 0.847357 0.727030 0.005380
Data = 5     -0.0005 0.846197 0.725692 0.005436
Data = 6     -0.0010 0.844642 0.724035 0.005395
Data = 7     -0.0015 0.843265 0.722403 0.005431
Data = 8     -0.0020 0.841786 0.720772 0.005467
