Time,TOPUPCC:rdEffBoostR [%],TOPUPCC:rdCur [mA],LINAC1C:rdHVS_C [µA],TOPUPCC:rdCurrentB [mA],PAHB:sDelay [ns],CUMZD4R:rdLt10 [h],PAHR:sCavSet []
08/05/2017 04:20:09.104665,71.2877,2.11474,-3.47219,0.666204,0,-0.00202036,1120
08/05/2017 04:20:10.103881,71.2877,2.11421,-3.6458,0.679784,0,-0.00231026,1120
08/05/2017 04:20:11.103114,70.8401,2.32577,-3.6458,0.733796,0,-0.00234848,1120
08/05/2017 04:20:12.102215,70.8401,2.32593,-3.6458,0.709051,0,-0.00272178,1120
08/05/2017 04:20:13.101457,71.0243,2.52407,-3.6458,0.689975,0,-0.00281802,1120
08/05/2017 04:20:14.100549,71.0243,2.52421,-3.6458,0.67964,0,-0.00330038,1120
08/05/2017 04:20:15.099745,70.7891,2.71188,-3.6458,0.658983,0,-0.00339254,1120
08/05/2017 04:20:16.098908,70.465,2.71029,-3.6458,0.66798,0,-0.00391215,1120
08/05/2017 04:20:17.097967,70.465,2.91639,-3.6458,0.719249,0,-0.00395602,1120
08/05/2017 04:20:18.097479,70.4671,2.9169,-3.6458,0.720513,0,-0.00449176,1120
08/05/2017 04:20:19.096649,70.4671,3.11664,-3.6458,0.698224,0,-0.00453283,1120
08/05/2017 04:20:20.096519,70.8221,3.11494,-3.6458,0.691719,0,-0.00511619,1120
08/05/2017 04:20:21.095527,70.8221,3.30992,-3.6458,0.674221,0,-0.00509568,1120
08/05/2017 04:20:22.094742,71.9797,3.30843,-3.6458,0.667377,0,-0.00566508,1120
08/05/2017 04:20:23.093852,71.7315,3.5177,-3.6458,0.713309,0.05,-0.0055735,1120
08/05/2017 04:20:24.092895,71.7315,3.52006,-3.47219,0.21901,0.05,-0.00618344,1120
08/05/2017 04:20:25.092244,70.9687,3.59787,-3.47219,0.222955,0.05,-0.00658722,1120
08/05/2017 04:20:26.091508,67.6224,3.59866,-3.47219,0.28082,0.05,-0.00774492,1120
08/05/2017 04:20:27.090743,67.6224,3.78595,-3.6458,0.67009,0.05,-0.00795003,1120
08/05/2017 04:20:28.089849,69.2591,3.78633,-3.6458,0.669545,0.05,-0.00905641,1120
08/05/2017 04:20:29.089472,69.2591,3.97931,-3.6458,0.662356,0.05,-0.00892593,1120
08/05/2017 04:20:30.088568,69.7016,3.98044,-3.47219,0.685546,0.05,-0.00976378,1120
08/05/2017 04:20:31.087707,69.7016,4.1801,-3.6458,0.307243,0.05,-0.00923648,1120
08/05/2017 04:20:32.086845,69.7228,4.18018,-3.6458,0.706375,0.05,-0.00968261,1120
08/05/2017 04:20:33.085982,69.7228,4.3725,-3.6458,0.699336,0.1,-0.00880043,1120
08/05/2017 04:20:34.085223,67.8657,4.37176,-3.6458,0.699013,0.1,-0.00890689,1120
08/05/2017 04:20:35.084262,67.8657,4.58048,-3.6458,0.677705,0.1,-0.00863101,1120
08/05/2017 04:20:36.083345,68.9616,4.57916,-3.6458,0.750258,0.1,-0.00927829,1120
08/05/2017 04:20:37.082400,68.9616,4.76577,-3.81947,0.728204,0.1,-0.00909375,1120
08/05/2017 04:20:38.081531,63.6769,4.76612,-3.6458,0.731846,0.1,-0.00988377,1120
08/05/2017 04:20:39.080609,63.6769,4.94807,-3.6458,0.682701,0.1,-0.00976808,1120
08/05/2017 04:20:40.079939,64.6036,4.94653,-3.6458,0.694594,0.1,-0.0106935,1120
08/05/2017 04:20:41.078934,64.6036,5.14692,-3.6458,0.74247,0.1,-0.0104642,1120
08/05/2017 04:20:42.078107,64.9716,5.14918,-3.6458,0.720908,0.1,-0.0113476,1120
08/05/2017 04:20:43.077269,64.8589,5.34597,-3.6458,0.708227,0.15,-0.0110767,1120
08/05/2017 04:20:44.076287,64.8589,5.3446,-3.6458,0.750884,0.15,-0.011976,1120
08/05/2017 04:20:45.075327,61.2751,5.53554,-3.6458,0.701233,0.15,-0.0115801,1120
08/05/2017 04:20:46.074531,61.2751,5.53505,-3.47219,0.686219,0.15,-0.0123973,1120
08/05/2017 04:20:47.074452,61.2751,5.70951,-3.6458,0.686219,0.15,-0.0121427,1120
08/05/2017 04:20:48.073568,57.9332,5.70998,-3.6458,0.741642,0.15,-0.01315,1120
08/05/2017 04:20:49.073008,56.733,5.87606,-3.6458,0.731909,0.15,-0.0130915,1120
08/05/2017 04:20:50.072061,55.9118,5.87519,-3.47219,0.731909,0.15,-0.014433,1120
08/05/2017 04:20:51.071697,55.9118,6.04311,-3.47219,0.728429,0.15,-0.0143481,1120
08/05/2017 04:20:52.070803,56.0652,6.0422,-3.6458,0.736285,0.15,-0.0157524,1120
08/05/2017 04:20:53.069921,55.7748,6.21324,-3.6458,0.762817,0.2,-0.0154675,1120
08/05/2017 04:20:54.069053,55.7748,6.21466,-3.6458,0.75508,0.2,-0.0167859,1120
08/05/2017 04:20:55.068151,56.6098,6.38523,-3.6458,0.760288,0.2,-0.0162279,1120
08/05/2017 04:20:56.068110,56.991,6.38681,-3.6458,0.209733,0.2,-0.0175044,1120
08/05/2017 04:20:57.067181,53.9943,6.43932,-3.6458,0.224563,0.2,-0.0182418,1120
08/05/2017 04:20:58.066418,49.239,6.44149,-3.6458,0.253991,0.2,-0.0208247,1120
