Time,TOPUPCC:rdEffBoostR [%],TOPUPCC:rdCur [mA],LINAC1C:rdHVS_C [µA],TOPUPCC:rdCurrentB [mA],PAHB:sDelay [ns],CUMZD4R:rdLt10 [h],PAHR:sCavSet []
08/05/2017 01:19:58.574141,68.1774,4.12551,-3.47219,0.759079,0,-0.00738559,1120
08/05/2017 01:19:59.573353,63.846,4.30304,-3.6458,0.738983,0,-0.00764097,1120
08/05/2017 01:20:00.572480,63.846,4.31909,-3.47219,0.730377,0.05,-0.00791961,1120
08/05/2017 01:20:01.571637,68.3198,4.5123,-3.47219,0.763673,0.05,-0.00827309,1120
08/05/2017 01:20:02.571469,68.3198,4.52752,-3.47219,0.766188,0.05,-0.00861927,1120
08/05/2017 01:20:03.571490,66.9621,4.70969,-3.6458,0.736729,0.05,-0.00896285,1120
08/05/2017 01:20:04.570651,66.9621,4.72532,-3.47219,0.729331,0.05,-0.00930792,1120
08/05/2017 01:20:05.569776,64.9638,4.89503,-3.6458,0.712952,0.05,-0.00966881,1120
08/05/2017 01:20:06.568795,64.9638,4.91639,-3.47219,0.767057,0.05,-0.00995414,1120
08/05/2017 01:20:07.568558,68.5712,5.10576,-3.47219,0.763711,0.05,-0.0101891,1120
08/05/2017 01:20:08.567533,68.5712,5.12691,-3.47219,0.772844,0.05,-0.0104641,1120
08/05/2017 01:20:09.566792,65.8886,5.30075,-3.6458,0.733861,0.05,-0.0107997,1120
08/05/2017 01:20:10.565883,65.8886,5.322,-3.47219,0.798484,0.1,-0.0111138,1120
08/05/2017 01:20:11.565079,61.3691,5.48576,-3.47219,0.75543,0.1,-0.0114246,1120
08/05/2017 01:20:12.564135,61.3691,5.51155,-3.47219,0.772336,0.1,-0.0117264,1120
08/05/2017 01:20:13.563318,67.2021,5.68246,-3.6458,0.724527,0.1,-0.0120235,1120
08/05/2017 01:20:14.562357,67.2021,5.70874,-3.6458,0.746161,0.1,-0.0123496,1120
08/05/2017 01:20:15.562329,63.5232,5.88025,-3.6458,0.768818,0.1,-0.0127427,1120
08/05/2017 01:20:16.561792,63.5232,5.9063,-3.47219,0.789171,0.1,-0.0130455,1120
08/05/2017 01:20:17.560989,66.6696,6.07852,-3.47219,0.745343,0.1,-0.0132643,1120
08/05/2017 01:20:18.560219,66.6696,6.10902,-3.47219,0.756682,0.1,-0.0134271,1120
08/05/2017 01:20:19.560202,65.5698,6.28521,-3.6458,0.786664,0.1,-0.0135546,1120
08/05/2017 01:20:20.560106,65.5698,6.30723,-3.6458,0.7896,0.15,-0.0139448,1120
08/05/2017 01:20:21.559240,65.5269,6.42576,-3.6458,0.525971,0.15,-0.0146019,1120
08/05/2017 01:20:22.558538,65.5269,6.46049,-3.6458,0.74405,0.15,-0.0150901,1120
08/05/2017 01:20:23.557679,68.5579,6.64166,-3.29865,0.783933,0.15,-0.0154469,1120
08/05/2017 01:20:24.556673,68.5579,6.67761,-3.6458,0.770333,0.15,-0.015694,1120
08/05/2017 01:20:25.555809,69.7883,6.84986,-3.6458,0.741033,0.15,-0.0158767,1120
08/05/2017 01:20:26.555746,69.7883,6.88182,-3.6458,0.751025,0.15,-0.0160235,1120
08/05/2017 01:20:27.555195,67.229,7.0391,-3.47219,0.697744,0.15,-0.0161604,1120
08/05/2017 01:20:28.555113,67.229,7.07767,-3.47219,0.780377,0.15,-0.016098,1120
08/05/2017 01:20:29.554233,69.323,7.24946,-3.47219,0.762234,0.15,-0.0158916,1120
08/05/2017 01:20:30.554158,69.323,7.2884,-3.47219,0.759772,0.2,-0.0160017,1120
08/05/2017 01:20:31.553355,66.4091,7.44244,-3.81947,0.710288,0.2,-0.016476,1120
08/05/2017 01:20:32.552382,66.4091,7.48735,-3.47219,0.783705,0.2,-0.0168138,1120
08/05/2017 01:20:33.551463,68.7336,7.65655,-3.29865,0.764562,0.2,-0.0170385,1120
08/05/2017 01:20:34.550549,68.7336,7.6987,-3.47219,0.766154,0.2,-0.0172378,1120
08/05/2017 01:20:35.549746,68.0374,7.85712,-3.47219,0.737667,0.2,-0.0174219,1120
08/05/2017 01:20:36.549442,68.0374,7.90337,-3.6458,0.730922,0.2,-0.0175901,1120
08/05/2017 01:20:37.548494,68.6826,8.07125,-3.47219,0.771729,0.2,-0.0178112,1120
08/05/2017 01:20:38.547626,68.6826,8.11844,-3.47219,0.776896,0.2,-0.0179633,1120
08/05/2017 01:20:39.547548,69.3937,8.27913,-3.47219,0.743948,0.2,-0.0180827,1120
08/05/2017 01:20:40.547393,69.3937,8.33118,-3.47219,0.746939,0.25,-0.0182146,1120
08/05/2017 01:20:41.558499,69.8827,8.50215,-3.6458,0.789951,0.25,-0.0183897,1120
08/05/2017 01:20:42.557501,69.8827,8.55166,-3.47219,0.780017,0.25,-0.0185739,1120
08/05/2017 01:20:43.556805,67.5617,8.70767,-3.47219,0.754045,0.25,-0.0187607,1120
08/05/2017 01:20:44.556009,67.5617,8.76202,-3.47219,0.79089,0.25,-0.018995,1120
08/05/2017 01:20:45.555367,65.8573,8.92172,-3.47219,0.798768,0.25,-0.0192819,1120
08/05/2017 01:20:46.554395,65.8573,8.97454,-3.47219,0.816914,0.25,-0.0195888,1120
08/05/2017 01:20:47.553611,65.8528,9.13047,-3.6458,0.788898,0.25,-0.0199117,1120
08/05/2017 01:20:48.552741,65.8528,9.18284,-3.47219,0.79099,0.25,-0.0203103,1120
