$k_{\textup{start}}$,$k_{\textup{end}}$,$\Delta k$,$N_2$,$N_4$,"$N_{\textup{ges,2}}$","$N_{\textup{ges,4}}$",$n_2$,$n_4$,$\frac{n_2}{n_4}$
0.0,0.15,0.005172413793103448,233.0,304853.0,900.0,810000.0,0.2588888888888889,0.3763617283950617,0.6878725156058823
0.0,0.25,0.008620689655172414,267.0,160911.0,900.0,810000.0,0.2966666666666667,0.19865555555555556,1.4933721125342583
0.0,0.5,0.017241379310344827,65.0,26581.0,900.0,810000.0,0.07222222222222222,0.032816049382716046,2.200820134682668
0.0,0.75,0.02586206896551724,33.0,5917.0,900.0,810000.0,0.03666666666666667,0.007304938271604939,5.019435524759168
0.15,0.2,0.0017241379310344834,900.0,414508.0,900.0,810000.0,1.0,0.5117382716049382,1.9541239252318412
0.15,0.25,0.003448275862068966,625.0,429571.0,900.0,810000.0,0.6944444444444444,0.5303345679012346,1.3094459355962111
0.15,0.3,0.005172413793103448,289.0,191597.0,900.0,810000.0,0.3211111111111111,0.2365395061728395,1.3575369134172248
0.15,0.5,0.01206896551724138,49.0,11157.0,900.0,810000.0,0.05444444444444444,0.013774074074074074,3.9526754503898895
